Directed: si
Nnodes: 50
0	6	88
0	22	77
0	10	52
0	33	84
0	46	69
0	25	92
0	1	52
0	26	84
0	19	53
0	20	85
0	29	97
0	42	76
0	4	83
0	35	96
0	38	63
0	2	87
0	16	82
0	37	100
0	18	62
0	49	86
0	32	53
0	31	95
1	21	89
1	23	62
1	13	68
1	8	74
1	44	96
1	3	96
1	25	76
1	15	100
1	24	63
1	4	98
1	19	64
1	45	77
1	47	52
1	38	89
1	41	56
1	0	85
1	43	82
1	36	86
1	49	95
1	11	65
1	17	76
1	29	93
1	20	92
2	20	77
2	23	64
2	8	57
2	28	90
2	1	77
2	24	98
2	37	78
2	44	81
2	42	58
2	10	86
2	6	54
2	13	50
2	35	97
2	11	59
2	15	95
2	32	57
2	34	69
2	19	75
2	7	79
2	29	98
2	27	57
2	49	70
2	12	74
3	48	56
3	9	66
3	31	56
3	32	81
3	40	62
3	23	69
3	10	51
3	45	71
3	7	98
3	20	56
3	44	54
3	8	53
3	18	62
3	6	89
3	22	67
3	46	83
3	33	96
3	12	93
3	25	80
3	37	73
3	47	82
3	21	92
3	34	85
3	49	98
3	42	64
4	25	55
4	20	79
4	43	72
4	36	94
4	35	90
4	37	50
4	44	76
4	23	53
4	24	84
4	34	60
4	45	94
4	27	57
4	22	100
4	10	72
4	15	76
4	21	73
4	40	68
4	49	57
4	31	81
4	0	50
4	38	87
4	41	86
4	19	98
4	47	69
4	13	85
5	38	89
5	21	64
5	9	50
5	49	62
5	40	56
5	19	80
5	8	92
5	7	100
5	12	61
5	10	82
5	34	90
5	37	84
5	31	52
5	29	61
5	15	85
5	26	78
5	16	85
5	24	93
5	27	87
5	6	76
5	25	71
5	18	70
5	22	74
6	13	53
6	18	62
6	33	84
6	25	87
6	36	98
6	23	97
6	16	73
6	20	80
6	49	57
6	17	77
6	26	92
6	0	63
6	32	77
6	45	63
6	48	62
6	42	85
6	22	91
6	1	58
6	35	86
6	21	79
6	37	100
6	34	64
6	8	50
6	24	54
7	45	89
7	37	72
7	0	79
7	25	53
7	27	69
7	10	69
7	31	83
7	35	77
7	14	91
7	18	84
7	15	50
7	5	76
7	38	61
7	2	53
7	8	86
7	23	73
7	22	57
7	41	85
7	28	84
7	16	52
7	49	77
7	42	51
7	24	79
8	33	77
8	1	56
8	48	59
8	17	81
8	30	56
8	27	98
8	41	99
8	12	62
8	21	91
8	44	62
8	38	85
8	22	63
8	5	60
8	0	58
8	29	72
8	4	85
8	18	92
8	6	99
8	24	89
8	46	62
8	37	84
8	34	88
8	11	61
8	28	83
8	32	58
8	7	52
8	47	74
9	45	50
9	29	86
9	24	52
9	22	76
9	38	53
9	48	73
9	16	72
9	37	60
9	8	68
9	46	99
9	12	53
9	6	76
9	25	55
9	42	68
9	21	66
9	35	79
9	43	88
9	41	85
9	19	97
9	30	68
9	26	73
9	20	62
9	4	71
9	23	64
9	5	61
9	40	76
10	43	62
10	35	63
10	19	54
10	22	61
10	39	75
10	0	63
10	33	71
10	9	99
10	6	90
10	47	58
10	30	53
10	17	64
10	25	92
10	41	87
10	16	90
10	31	52
10	2	57
10	38	53
10	46	61
10	4	85
10	24	63
10	18	60
10	11	72
10	23	93
10	48	72
10	1	76
11	37	80
11	41	66
11	26	71
11	20	100
11	48	93
11	43	65
